Type Name,Base Type,Value Name,Value,Comment
mesg_num,uint16,,,
,,undocumented_13,13,
,,data_sources,22,
,,undocumented_24,24,
,,location,29,
,,user_data,79,
,,battery,104,
,,personal_records,113,
,,undocumented_125,125,
,,physiological_metrics,140,
,,epo_data,141,
,,sensor_settings,147,
,,undocumented_188,188,
,,undocumented_211,211,
,,heart_rate_zones,216,
,,undocumented_229,229,
,,training_status,232,
,,undocumented_233,233,
,,metrics,241,
,,media_player_info,243,
,,undocumented_244,244,
,,undocumented_261,261,
,,undocumented_269,269,
,,undocumented_279,279,
,,training_load,284,
,,undocumented_288,288,
,,undocumented_1024,1024,
,,,,
garmin_product,uint16,,,
,,instinct,3126,
